seq,timestamp_ns,user_id,item_id,category_id,behavior_code,amount,label,label_valid,is_burst_period
40,1493596832000000000,0,0,0,0,29.89,0,1,0
41,1493596832000000000,0,0,0,0,2.35,0,1,0
42,1493596833000000000,0,0,0,0,9.1,0,1,0
43,1493596833000000000,0,0,0,0,14.8,0,1,0
44,1493596834000000000,0,0,0,0,15.99,0,1,0
45,1493596834000000000,0,0,0,0,21.34,0,1,0
46,1493596834000000000,0,0,0,0,18.95,0,1,0
47,1493596834000000000,0,0,0,0,9.99,0,1,0
48,1493596835000000000,0,0,0,0,30.9,0,1,0
49,1493596835000000000,0,0,0,0,0.99,0,1,0
50,1493596835000000000,0,0,0,0,20.22,0,1,0
51,1493596836000000000,0,0,0,0,2.09,0,1,0
52,1493596836000000000,0,0,0,0,1402.95,0,1,0
53,1493596836000000000,0,0,0,0,7.99,0,1,0
54,1493596837000000000,0,0,0,0,0.99,0,1,0
55,1493596838000000000,0,0,0,0,21.76,0,1,0
56,1493596839000000000,0,0,0,0,120.96,0,1,0
57,1493596839000000000,0,0,0,0,13.84,0,1,0
58,1493596840000000000,0,0,0,0,13.84,0,1,0
59,1493596841000000000,0,0,0,0,2.67,0,1,0
60,1493596841000000000,0,0,0,0,169.05,0,1,0
61,1493596841000000000,0,0,0,0,96.94,0,1,0
62,1493596841000000000,0,0,0,0,34.13,0,1,0
63,1493596842000000000,0,0,0,0,243.66,0,1,0
64,1493596842000000000,0,0,0,0,32.51,0,1,0
65,1493596844000000000,0,0,0,0,0.75,0,1,0
66,1493596844000000000,0,0,0,0,45.71,0,1,0
67,1493596844000000000,0,0,0,0,21.55,0,1,0
68,1493596844000000000,0,0,0,0,59.9,0,1,0
69,1493596846000000000,0,0,0,0,11.45,0,1,0
70,1493596846000000000,0,0,0,0,35.0,0,1,0
71,1493596846000000000,0,0,0,0,67.97,0,1,0
72,1493596847000000000,0,0,0,0,3.63,0,1,0
73,1493596848000000000,0,0,0,0,21.66,0,1,0
74,1493596848000000000,0,0,0,0,26.72,0,1,0
75,1493596849000000000,0,0,0,0,13.18,0,1,0
76,1493596849000000000,0,0,0,0,59.99,0,1,0
77,1493596849000000000,0,0,0,0,135.51,0,1,0
78,1493596850000000000,0,0,0,0,14.8,0,1,0
79,1493596850000000000,0,0,0,0,9.79,0,1,0
80,1493596851000000000,0,0,0,0,1.98,0,1,0
81,1493596852000000000,0,0,0,0,6.67,0,1,0
82,1493596852000000000,0,0,0,0,1.46,0,1,0
83,1493596853000000000,0,0,0,0,89.17,0,1,0
84,1493596854000000000,0,0,0,0,7.53,0,1,0
85,1493596855000000000,0,0,0,0,0.76,0,1,0
86,1493596855000000000,0,0,0,0,200.01,0,1,0
87,1493596856000000000,0,0,0,0,10.84,0,1,0
88,1493596856000000000,0,0,0,0,20.22,0,1,0
89,1493596859000000000,0,0,0,0,1142.02,0,1,0
90,1493596859000000000,0,0,0,0,149.9,0,1,0
91,1493596860000000000,0,0,0,0,89.4,0,1,0
92,1493596860000000000,0,0,0,0,26.72,0,1,0
93,1493596862000000000,0,0,0,0,5.99,0,1,0
94,1493596864000000000,0,0,0,0,34.7,0,1,0
95,1493596864000000000,0,0,0,0,54.99,0,1,0
96,1493596864000000000,0,0,0,0,7.55,0,1,0
97,1493596867000000000,0,0,0,0,19.85,0,1,0
98,1493596867000000000,0,0,0,0,28.28,0,1,0
99,1493596868000000000,0,0,0,0,15.99,0,1,0
100,1493596868000000000,0,0,0,0,2.69,0,1,0
101,1493596868000000000,0,0,0,0,22.36,0,1,0
102,1493596869000000000,0,0,0,0,9.47,0,1,0
103,1493596869000000000,0,0,0,0,0.76,0,1,0
104,1493596869000000000,0,0,0,0,168.56,0,1,0
105,1493596869000000000,0,0,0,0,0.78,0,1,0
106,1493596870000000000,0,0,0,0,21.8,0,1,0
107,1493596871000000000,0,0,0,0,14.48,0,1,0
108,1493596873000000000,0,0,0,0,1.0,0,1,0
109,1493596873000000000,0,0,0,0,1.0,0,1,0
110,1493596873000000000,0,0,0,0,70.6,0,1,0
111,1493596873000000000,0,0,0,0,19.77,0,1,0
112,1493596874000000000,0,0,0,0,1.18,0,1,0
113,1493596874000000000,0,0,0,0,1.18,0,1,0
114,1493596874000000000,0,0,0,0,1.18,0,1,0
115,1493596874000000000,0,0,0,0,1.18,0,1,0
116,1493596875000000000,0,0,0,0,81.13,0,1,0
117,1493596876000000000,0,0,0,0,50.0,0,1,0
118,1493596876000000000,0,0,0,0,86.43,0,1,0
119,1493596877000000000,0,0,0,0,9.12,0,1,0
120,1493596877000000000,0,0,0,0,49.95,0,1,0
121,1493596877000000000,0,0,0,0,11.83,0,1,0
122,1493596878000000000,0,0,0,0,104.94,0,1,0
123,1493596878000000000,0,0,0,0,4.68,0,1,0
124,1493596878000000000,0,0,0,0,62.92,0,1,0
125,1493596878000000000,0,0,0,0,18.31,0,1,0
126,1493596879000000000,0,0,0,0,80.0,0,1,0
127,1493596880000000000,0,0,0,0,32.51,0,1,0
128,1493596880000000000,0,0,0,0,39.95,0,1,0
129,1493596881000000000,0,0,0,0,68.74,0,1,0
130,1493596882000000000,0,0,0,0,79.0,0,1,0
131,1493596882000000000,0,0,0,0,5.9,0,1,0
132,1493596883000000000,0,0,0,0,7.69,0,1,0
133,1493596883000000000,0,0,0,0,79.91,0,1,0
134,1493596883000000000,0,0,0,0,552.18,0,1,0
135,1493596884000000000,0,0,0,0,21.97,0,1,0
136,1493596884000000000,0,0,0,0,4.99,0,1,0
137,1493596884000000000,0,0,0,0,67.3,0,1,0
138,1493596885000000000,0,0,0,0,124.67,0,1,0
139,1493596885000000000,0,0,0,0,11.99,0,1,0
140,1493596887000000000,0,0,0,0,919.6,0,1,0
141,1493596888000000000,0,0,0,0,30.9,0,1,0
142,1493596889000000000,0,0,0,0,459.39,0,1,0
143,1493596889000000000,0,0,0,0,37.13,0,1,0
144,1493596891000000000,0,0,0,0,1.98,0,1,0
145,1493596891000000000,0,0,0,0,15.89,0,1,0
146,1493596892000000000,0,0,0,0,268.78,0,1,0
147,1493596892000000000,0,0,0,0,2.99,0,1,0
148,1493596892000000000,0,0,0,0,8.95,0,1,0
149,1493596893000000000,0,0,0,0,322.44,0,1,0
150,1493596893000000000,0,0,0,0,937.69,0,1,0
151,1493596895000000000,0,0,0,0,69.0,0,1,0
152,1493596895000000000,0,0,0,0,2.28,0,1,0
153,1493596895000000000,0,0,0,0,7.21,0,1,0
154,1493596895000000000,0,0,0,0,1.29,0,1,0
155,1493596897000000000,0,0,0,0,17.8,0,1,0
156,1493596898000000000,0,0,0,0,159.0,0,1,0
157,1493596898000000000,0,0,0,0,14.98,0,1,0
158,1493596899000000000,0,0,0,0,142.71,0,1,0
159,1493596899000000000,0,0,0,0,84.39,0,1,0
160,1493596900000000000,0,0,0,0,182.95,0,1,0
161,1493596903000000000,0,0,0,0,23.27,0,1,0
162,1493596903000000000,0,0,0,0,9.99,0,1,0
163,1493596903000000000,0,0,0,0,4.19,0,1,0
164,1493596903000000000,0,0,0,0,3828.04,0,1,0
165,1493596905000000000,0,0,0,0,35.97,0,1,0
166,1493596905000000000,0,0,0,0,1.0,0,1,0
167,1493596906000000000,0,0,0,0,24.57,0,1,0
168,1493596907000000000,0,0,0,0,1.0,0,1,0
169,1493596908000000000,0,0,0,0,148.43,0,1,0
170,1493596908000000000,0,0,0,0,25.8,0,1,0
171,1493596910000000000,0,0,0,0,110.4,0,1,0
172,1493596910000000000,0,0,0,0,13.95,0,1,0
173,1493596911000000000,0,0,0,0,9.99,0,1,0
174,1493596912000000000,0,0,0,0,937.69,0,1,0
175,1493596912000000000,0,0,0,0,54.99,0,1,0
176,1493596913000000000,0,0,0,0,31.17,0,1,0
177,1493596914000000000,0,0,0,0,23.88,0,1,0
178,1493596914000000000,0,0,0,0,4.49,0,1,0
179,1493596915000000000,0,0,0,0,137.0,0,1,0
180,1493596917000000000,0,0,0,0,37.89,0,1,0
181,1493596917000000000,0,0,0,0,82.29,0,1,0
182,1493596918000000000,0,0,0,0,20.0,0,1,0
183,1493596918000000000,0,0,0,0,2.69,0,1,0
184,1493596921000000000,0,0,0,0,29.99,0,1,0
185,1493596923000000000,0,0,0,0,40.0,0,1,0
186,1493596923000000000,0,0,0,0,160.86,0,1,0
187,1493596924000000000,0,0,0,0,8.93,0,1,0
188,1493596924000000000,0,0,0,0,6.24,0,1,0
189,1493596924000000000,0,0,0,0,230.0,0,1,0
190,1493596925000000000,0,0,0,0,113.0,0,1,0
191,1493596925000000000,0,0,0,0,43.71,0,1,0
192,1493596925000000000,0,0,0,0,165.55,0,1,0
193,1493596927000000000,0,0,0,0,1.54,0,1,0
194,1493596928000000000,0,0,0,0,10.0,0,1,0
195,1493596928000000000,0,0,0,0,8.8,0,1,0
196,1493596930000000000,0,0,0,0,5.97,0,1,0
197,1493596930000000000,0,0,0,0,15.93,0,1,0
198,1493596931000000000,0,0,0,0,10.0,0,1,0
199,1493596932000000000,0,0,0,0,3.87,0,1,0
200,1493596932000000000,0,0,0,0,10.0,0,1,0
201,1493596933000000000,0,0,0,0,35.97,0,1,0
202,1493596935000000000,0,0,0,0,22.37,0,1,0
203,1493596935000000000,0,0,0,0,4.57,0,1,0
204,1493596935000000000,0,0,0,0,23.57,0,1,0
205,1493596936000000000,0,0,0,0,13.99,0,1,0
206,1493596937000000000,0,0,0,0,226.07,0,1,0
207,1493596938000000000,0,0,0,0,148.81,0,1,0
208,1493596939000000000,0,0,0,0,58.0,0,1,0
209,1493596940000000000,0,0,0,0,1.29,0,1,0
210,1493596940000000000,0,0,0,0,65.0,0,1,0
211,1493596940000000000,0,0,0,0,11.0,0,1,0
212,1493596940000000000,0,0,0,0,257.3,0,1,0
213,1493596940000000000,0,0,0,0,169.0,0,1,0
214,1493596941000000000,0,0,0,0,9.9,0,1,0
215,1493596942000000000,0,0,0,0,9.99,0,1,0
216,1493596942000000000,0,0,0,0,4.9,0,1,0
217,1493596943000000000,0,0,0,0,39.95,0,1,0
218,1493596944000000000,0,0,0,0,15.36,0,1,0
219,1493596945000000000,0,0,0,0,9.9,0,1,0
220,1493596945000000000,0,0,0,0,6.0,0,1,0
221,1493596945000000000,0,0,0,0,6.0,0,1,0
222,1493596945000000000,0,0,0,0,6.74,0,1,0
223,1493596945000000000,0,0,0,0,6.74,0,1,0
224,1493596947000000000,0,0,0,0,0.89,0,1,0
225,1493596947000000000,0,0,0,0,170.43,0,1,0
226,1493596950000000000,0,0,0,0,0.89,0,1,0
227,1493596952000000000,0,0,0,0,614.87,0,1,0
228,1493596953000000000,0,0,0,0,22.99,0,1,0
229,1493596953000000000,0,0,0,0,71.26,0,1,0
230,1493596954000000000,0,0,0,0,127.69,0,1,0
231,1493596954000000000,0,0,0,0,1.98,0,1,0
232,1493596955000000000,0,0,0,0,1.29,0,1,0
233,1493596955000000000,0,0,0,0,6.45,0,1,0
234,1493596956000000000,0,0,0,0,184.31,0,1,0
235,1493596956000000000,0,0,0,0,500.0,0,1,0
236,1493596956000000000,0,0,0,0,10.0,0,1,0
237,1493596958000000000,0,0,0,0,1.79,0,1,0
238,1493596958000000000,0,0,0,0,10.0,0,1,0
239,1493596960000000000,0,0,0,0,20.0,0,1,0
240,1493596960000000000,0,0,0,0,700.0,0,1,0
241,1493596962000000000,0,0,0,0,22.0,0,1,0
242,1493596964000000000,0,0,0,0,0.99,0,1,0
243,1493596964000000000,0,0,0,0,2.28,0,1,0
244,1493596964000000000,0,0,0,0,65.26,0,1,0
245,1493596967000000000,0,0,0,0,1.0,0,1,0
246,1493596967000000000,0,0,0,0,44.2,0,1,0
247,1493596967000000000,0,0,0,0,5.42,0,1,0
248,1493596968000000000,0,0,0,0,42.9,0,1,0
249,1493596969000000000,0,0,0,0,355.51,0,1,0
250,1493596971000000000,0,0,0,0,0.89,0,1,0
251,1493596971000000000,0,0,0,0,71.69,0,1,0
252,1493596972000000000,0,0,0,0,2.29,0,1,0
253,1493596972000000000,0,0,0,0,1.29,0,1,0
254,1493596979000000000,0,0,0,0,27.99,0,1,0
255,1493596980000000000,0,0,0,0,23.63,0,1,0
256,1493596980000000000,0,0,0,0,48.0,0,1,0
257,1493596981000000000,0,0,0,0,6.47,0,1,0
258,1493596981000000000,0,0,0,0,318.5,0,1,0
259,1493596983000000000,0,0,0,0,75.83,0,1,0
260,1493596983000000000,0,0,0,0,224.97,0,1,0
261,1493596984000000000,0,0,0,0,1.98,0,1,0
262,1493596984000000000,0,0,0,0,1.98,0,1,0
263,1493596985000000000,0,0,0,0,4.65,0,1,0
264,1493596987000000000,0,0,0,0,23.32,0,1,0
265,1493596988000000000,0,0,0,0,8.09,0,1,0
266,1493596990000000000,0,0,0,0,82.29,0,1,0
267,1493596990000000000,0,0,0,0,99.95,0,1,0
268,1493596990000000000,0,0,0,0,20.0,0,1,0
269,1493596990000000000,0,0,0,0,127.75,0,1,0
270,1493596990000000000,0,0,0,0,20.7,0,1,0
271,1493596992000000000,0,0,0,0,1.79,0,1,0
272,1493596993000000000,0,0,0,0,37.2,0,1,0
273,1493596994000000000,0,0,0,0,32.77,0,1,0
274,1493596994000000000,0,0,0,0,5.99,0,1,0
275,1493596994000000000,0,0,0,0,1.0,0,1,0
276,1493596996000000000,0,0,0,0,63.9,0,1,0
277,1493596996000000000,0,0,0,0,0.89,0,1,0
278,1493596999000000000,0,0,0,0,6.45,0,1,0
279,1493596999000000000,0,0,0,0,61.18,0,1,0
280,1493596999000000000,0,0,0,0,9.99,0,1,0
281,1493597000000000000,0,0,0,0,196.7,0,1,0
282,1493597000000000000,0,0,0,0,79.0,0,1,0
283,1493597004000000000,0,0,0,0,137.3,0,1,0
284,1493597004000000000,0,0,0,0,39.94,0,1,0
285,1493597004000000000,0,0,0,0,1.98,0,1,0
286,1493597005000000000,0,0,0,0,12.99,0,1,0
287,1493597006000000000,0,0,0,0,153.91,0,1,0
288,1493597006000000000,0,0,0,0,101.0,0,1,0
289,1493597006000000000,0,0,0,0,10.27,0,1,0
290,1493597009000000000,0,0,0,0,13.99,0,1,0
291,1493597009000000000,0,0,0,0,45.0,0,1,0
292,1493597009000000000,0,0,0,0,95.56,0,1,0
293,1493597009000000000,0,0,0,0,8.97,0,1,0
294,1493597009000000000,0,0,0,0,1.19,0,1,0
295,1493597010000000000,0,0,0,0,12.99,0,1,0
296,1493597011000000000,0,0,0,0,526.96,0,1,0
297,1493597011000000000,0,0,0,0,70.0,0,1,0
298,1493597013000000000,0,0,0,0,4.38,0,1,0
299,1493597015000000000,0,0,0,0,12.99,0,1,0
300,1493597017000000000,0,0,0,0,24.0,0,1,0
301,1493597018000000000,0,0,0,0,1.0,0,1,0
302,1493597018000000000,0,0,0,0,17.56,0,1,0
303,1493597018000000000,0,0,0,0,12.99,0,1,0
304,1493597020000000000,0,0,0,0,18.96,0,1,0
305,1493597020000000000,0,0,0,0,22.58,0,1,0
306,1493597021000000000,0,0,0,0,25.36,0,1,0
307,1493597021000000000,0,0,0,0,99.82,0,1,0
308,1493597022000000000,0,0,0,0,49.99,0,1,0
309,1493597022000000000,0,0,0,0,17.24,0,1,0
310,1493597022000000000,0,0,0,0,7.81,0,1,0
311,1493597022000000000,0,0,0,0,18.61,0,1,0
312,1493597025000000000,0,0,0,0,34.0,0,1,0
313,1493597025000000000,0,0,0,0,35.11,0,1,0
314,1493597027000000000,0,0,0,0,1.0,0,1,0
315,1493597027000000000,0,0,0,0,29.95,0,1,0
316,1493597028000000000,0,0,0,0,45.3,0,1,0
317,1493597030000000000,0,0,0,0,79.18,0,1,0
318,1493597031000000000,0,0,0,0,1.98,0,1,0
319,1493597031000000000,0,0,0,0,26.98,0,1,0
320,1493597034000000000,0,0,0,0,42.81,0,1,0
321,1493597035000000000,0,0,0,0,25.0,0,1,0
322,1493597036000000000,0,0,0,0,0.99,0,1,0
323,1493597036000000000,0,0,0,0,7.14,0,1,0
324,1493597037000000000,0,0,0,0,9.99,0,1,0
325,1493597037000000000,0,0,0,0,32.51,0,1,0
326,1493597038000000000,0,0,0,0,8.99,0,1,0
327,1493597039000000000,0,0,0,0,10.0,0,1,0
328,1493597041000000000,0,0,0,0,10.62,0,1,0
329,1493597041000000000,0,0,0,0,4.81,0,1,0
330,1493597041000000000,0,0,0,0,12.2,0,1,0
331,1493597041000000000,0,0,0,0,12.31,0,1,0
332,1493597042000000000,0,0,0,0,2.69,0,1,0
333,1493597044000000000,0,0,0,0,100.37,0,1,0
334,1493597046000000000,0,0,0,0,1.98,0,1,0
335,1493597046000000000,0,0,0,0,2.98,0,1,0
336,1493597046000000000,0,0,0,0,1.5,0,1,0
337,1493597047000000000,0,0,0,0,18.94,0,1,0
338,1493597048000000000,0,0,0,0,10.0,0,1,0
339,1493597049000000000,0,0,0,0,13.28,0,1,0
340,1493597050000000000,0,0,0,0,5.96,0,1,0
341,1493597051000000000,0,0,0,0,24.0,0,1,0
342,1493597051000000000,0,0,0,0,31.8,0,1,0
343,1493597051000000000,0,0,0,0,120.0,0,1,0
344,1493597052000000000,0,0,0,0,231.71,0,1,0
345,1493597056000000000,0,0,0,0,18.45,0,1,0
346,1493597056000000000,0,0,0,0,13.53,0,1,0
347,1493597057000000000,0,0,0,0,1.98,0,1,0
348,1493597058000000000,0,0,0,0,13.79,0,1,0
349,1493597059000000000,0,0,0,0,20.17,0,1,0
350,1493597059000000000,0,0,0,0,9.99,0,1,0
351,1493597059000000000,0,0,0,0,55.45,0,1,0
352,1493597059000000000,0,0,0,0,0.99,0,1,0
353,1493597060000000000,0,0,0,0,5.46,0,1,0
354,1493597060000000000,0,0,0,0,99.0,0,1,0
355,1493597060000000000,0,0,0,0,26.5,0,1,0
356,1493597061000000000,0,0,0,0,1.98,0,1,0
357,1493597063000000000,0,0,0,0,49.99,0,1,0
358,1493597065000000000,0,0,0,0,24.84,0,1,0
359,1493597065000000000,0,0,0,0,13.08,0,1,0
360,1493597065000000000,0,0,0,0,9.03,0,1,0
361,1493597065000000000,0,0,0,0,1.0,0,1,0
362,1493597066000000000,0,0,0,0,154.4,0,1,0
363,1493597066000000000,0,0,0,0,14.9,0,1,0
364,1493597066000000000,0,0,0,0,10.35,0,1,0
365,1493597067000000000,0,0,0,0,122.36,0,1,0
366,1493597067000000000,0,0,0,0,2.28,0,1,0
367,1493597068000000000,0,0,0,0,6.54,0,1,0
368,1493597069000000000,0,0,0,0,2.6,0,1,0
369,1493597069000000000,0,0,0,0,6.47,0,1,0
370,1493597070000000000,0,0,0,0,52.95,0,1,0
371,1493597071000000000,0,0,0,0,5.99,0,1,0
372,1493597071000000000,0,0,0,0,0.89,0,1,0
373,1493597072000000000,0,0,0,0,208.38,0,1,0
374,1493597073000000000,0,0,0,0,32.51,0,1,0
375,1493597073000000000,0,0,0,0,6.51,0,1,0
376,1493597073000000000,0,0,0,0,18.0,0,1,0
377,1493597074000000000,0,0,0,0,1.98,0,1,0
378,1493597075000000000,0,0,0,0,70.33,0,1,0
379,1493597078000000000,0,0,0,0,2.69,0,1,0
380,1493597079000000000,0,0,0,0,8.99,0,1,0
381,1493597079000000000,0,0,0,0,19.29,0,1,0
382,1493597080000000000,0,0,0,0,109.15,0,1,0
383,1493597082000000000,0,0,0,0,0.0,0,1,0
384,1493597082000000000,0,0,0,0,27.0,0,1,0
385,1493597082000000000,0,0,0,0,2.0,0,1,0
386,1493597082000000000,0,0,0,0,11.64,0,1,0
387,1493597083000000000,0,0,0,0,94.5,0,1,0
388,1493597083000000000,0,0,0,0,2.31,0,1,0
389,1493597084000000000,0,0,0,0,7.89,0,1,0
390,1493597084000000000,0,0,0,0,1.0,0,1,0
391,1493597084000000000,0,0,0,0,11.99,0,1,0
392,1493597084000000000,0,0,0,0,302.1,0,1,0
393,1493597084000000000,0,0,0,0,30.3,0,1,0
394,1493597085000000000,0,0,0,0,8.99,0,1,0
395,1493597087000000000,0,0,0,0,160.0,0,1,0
396,1493597088000000000,0,0,0,0,6.54,0,1,0
397,1493597088000000000,0,0,0,0,156.98,0,1,0
398,1493597088000000000,0,0,0,0,380.95,0,1,0
399,1493597089000000000,0,0,0,0,74.47,0,1,0
400,1493597090000000000,0,0,0,0,30.5,0,1,0
401,1493597090000000000,0,0,0,0,85.0,0,1,0
402,1493597090000000000,0,0,0,0,67.36,0,1,0
403,1493597090000000000,0,0,0,0,101.0,0,1,0
404,1493597092000000000,0,0,0,0,4.45,0,1,0
405,1493597092000000000,0,0,0,0,23.88,0,1,0
406,1493597093000000000,0,0,0,0,5.0,0,1,0
407,1493597094000000000,0,0,0,0,73.0,0,1,0
408,1493597094000000000,0,0,0,0,33.33,0,1,0
409,1493597097000000000,0,0,0,0,6.86,0,1,0
410,1493597097000000000,0,0,0,0,54.75,0,1,0
411,1493597097000000000,0,0,0,0,6.2,0,1,0
412,1493597097000000000,0,0,0,0,12.31,0,1,0
413,1493597098000000000,0,0,0,0,13.99,0,1,0
414,1493597098000000000,0,0,0,0,36.0,0,1,0
415,1493597100000000000,0,0,0,0,1.91,0,1,0
416,1493597102000000000,0,0,0,0,90.0,0,1,0
417,1493597102000000000,0,0,0,0,9.99,0,1,0
418,1493597103000000000,0,0,0,0,2.95,0,1,0
419,1493597103000000000,0,0,0,0,90.0,0,1,0
420,1493597104000000000,0,0,0,0,1.98,0,1,0
421,1493597105000000000,0,0,0,0,379.63,0,1,0
422,1493597107000000000,0,0,0,0,52.9,0,1,0
423,1493597107000000000,0,0,0,0,9.97,0,1,0
424,1493597108000000000,0,0,0,0,60.0,0,1,0
425,1493597109000000000,0,0,0,0,1.0,0,1,0
426,1493597109000000000,0,0,0,0,14.6,0,1,0
427,1493597110000000000,0,0,0,0,7.8,0,1,0
428,1493597110000000000,0,0,0,0,22.09,0,1,0
429,1493597110000000000,0,0,0,0,222.5,0,1,0
430,1493597111000000000,0,0,0,0,11.5,0,1,0
431,1493597111000000000,0,0,0,0,8.58,0,1,0
432,1493597112000000000,0,0,0,0,33.26,0,1,0
433,1493597112000000000,0,0,0,0,140.6,0,1,0
434,1493597112000000000,0,0,0,0,493.44,0,1,0
435,1493597113000000000,0,0,0,0,15.08,0,1,0
436,1493597113000000000,0,0,0,0,68.0,0,1,0
437,1493597115000000000,0,0,0,0,11.46,0,1,0
438,1493597115000000000,0,0,0,0,69.99,0,1,0
439,1493597117000000000,0,0,0,0,19.99,0,1,0
440,1493597117000000000,0,0,0,0,7.69,0,1,0
441,1493597118000000000,0,0,0,0,10.0,0,1,0
442,1493597122000000000,0,0,0,0,1.79,0,1,0
443,1493597122000000000,0,0,0,0,9.99,0,1,0
444,1493597122000000000,0,0,0,0,29.56,0,1,0
445,1493597123000000000,0,0,0,0,0.77,0,1,0
446,1493597123000000000,0,0,0,0,52.0,0,1,0
447,1493597124000000000,0,0,0,0,0.89,0,1,0
448,1493597125000000000,0,0,0,0,17.24,0,1,0
449,1493597127000000000,0,0,0,0,36.71,0,1,0
450,1493597128000000000,0,0,0,0,2.5,0,1,0
451,1493597130000000000,0,0,0,0,55.76,0,1,0
452,1493597130000000000,0,0,0,0,32.38,0,1,0
453,1493597131000000000,0,0,0,0,0.89,0,1,0
454,1493597132000000000,0,0,0,0,11.34,0,1,0
455,1493597133000000000,0,0,0,0,75.0,0,1,0
456,1493597133000000000,0,0,0,0,216.0,0,1,0
457,1493597135000000000,0,0,0,0,1.03,0,1,0
458,1493597135000000000,0,0,0,0,4.8,0,1,0
459,1493597136000000000,0,0,0,0,7.72,0,1,0
460,1493597139000000000,0,0,0,0,2.0,0,1,0
461,1493597139000000000,0,0,0,0,98.0,0,1,0
462,1493597140000000000,0,0,0,0,47.0,0,1,0
463,1493597140000000000,0,0,0,0,0.99,0,1,0
464,1493597141000000000,0,0,0,0,22.0,0,1,0
465,1493597141000000000,0,0,0,0,62.63,0,1,0
466,1493597142000000000,0,0,0,0,197.63,0,1,0
467,1493597143000000000,0,0,0,0,75.83,0,1,0
468,1493597144000000000,0,0,0,0,456.71,0,1,0
469,1493597146000000000,0,0,0,0,6.0,0,1,0
470,1493597146000000000,0,0,0,0,5.0,0,1,0
471,1493597146000000000,0,0,0,0,10.99,0,1,0
472,1493597147000000000,0,0,0,0,204.03,0,1,0
473,1493597148000000000,0,0,0,0,3.99,0,1,0
474,1493597151000000000,0,0,0,0,12.99,0,1,0
475,1493597152000000000,0,0,0,0,2.67,0,1,0
476,1493597152000000000,0,0,0,0,13.99,0,1,0
477,1493597153000000000,0,0,0,0,12.87,0,1,0
478,1493597153000000000,0,0,0,0,611.76,0,1,0
479,1493597154000000000,0,0,0,0,2.31,0,1,0
480,1493597154000000000,0,0,0,0,11.38,0,1,0
481,1493597154000000000,0,0,0,0,23.88,0,1,0
482,1493597155000000000,0,0,0,0,19.64,0,1,0
483,1493597155000000000,0,0,0,0,2.61,0,1,0
484,1493597156000000000,0,0,0,0,15.0,0,1,0
485,1493597156000000000,0,0,0,0,20.48,0,1,0
486,1493597156000000000,0,0,0,0,105.87,0,1,0
487,1493597157000000000,0,0,0,0,0.75,0,1,0
488,1493597158000000000,0,0,0,0,17.43,0,1,0
489,1493597158000000000,0,0,0,0,41.64,0,1,0
490,1493597159000000000,0,0,0,0,1.29,0,1,0
491,1493597160000000000,0,0,0,0,0.89,0,1,0
492,1493597162000000000,0,0,0,0,79.0,0,1,0
493,1493597163000000000,0,0,0,0,37.92,0,1,0
494,1493597165000000000,0,0,0,0,0.68,0,1,0
495,1493597165000000000,0,0,0,0,74.22,0,1,0
